GameID,StadiumID,TournamentID,Team_a,Team_b,GameDate,Attendence,Stage
113,26,8,27,33,"Wednesday June 22, 1994",93869,Group stage
114,28,8,13,27,"Monday July 4, 1994",84147,Round of 16
115,28,8,13,39,"Monday June 20, 1994",81061,Group stage
116,28,8,13,28,"Friday June 24, 1994",83401,Group stage
117,27,8,13,31,"Tuesday June 28, 1994",77217,Group stage
118,30,8,36,13,"Saturday July 9, 1994",63500,Quarter-finals
119,26,8,31,13,"Wednesday July 13, 1994",91856,Semi-finals
120,26,8,13,2,"Sunday July 17, 1994",94194,Final
121,26,8,28,31,"Sunday June 19, 1994",93194,Group stage
122,27,8,31,39,"Friday June 24, 1994",71528,Group stage
123,30,8,45,31,"Sunday July 3, 1994",60277,Round of 16
124,26,8,31,3,"Saturday July 16, 1994",91500,Third-place match
125,28,8,39,28,"Tuesday June 28, 1994",74914,Group stage
126,31,8,40,41,"Friday June 17, 1994",63117,Group stage
127,31,8,40,14,"Tuesday June 21, 1994",63113,Group stage
128,30,8,40,4,"Monday June 27, 1994",63998,Group stage
129,31,8,40,7,"Saturday July 2, 1994",60246,Round of 16
130,32,8,3,40,"Sunday July 10, 1994",72000,Quarter-finals
131,30,8,14,4,"Friday June 17, 1994",56247,Group stage
132,31,8,41,14,"Monday June 27, 1994",63089,Group stage
133,33,8,2,14,"Saturday July 9, 1994",53400,Quarter-finals
134,33,8,4,41,"Thursday June 23, 1994",54453,Group stage
135,30,8,42,3,"Tuesday June 21, 1994",44132,Group stage
136,33,8,1,42,"Saturday June 25, 1994",54453,Group stage
137,33,8,43,42,"Thursday June 30, 1994",53001,Group stage
138,33,8,42,2,"Tuesday July 5, 1994",54367,Round of 16
139,31,8,3,43,"Sunday June 26, 1994",63160,Group stage
140,30,8,1,3,"Thursday June 30, 1994",63998,Group stage
141,32,8,5,3,"Tuesday July 5, 1994",71030,Round of 16
142,32,8,3,2,"Wednesday July 13, 1994",74110,Semi-finals
143,33,8,1,43,"Tuesday June 21, 1994",54456,Group stage
144,29,8,44,5,"Sunday June 19, 1994",52395,Group stage
145,34,8,5,35,"Friday June 24, 1994",60790,Group stage
146,29,8,2,5,"Tuesday June 28, 1994",52535,Group stage
147,32,8,2,35,"Saturday June 18, 1994",75338,Group stage
148,32,8,35,44,"Tuesday June 28, 1994",72404,Group stage
149,34,8,36,35,"Monday July 4, 1994",61355,Round of 16
150,32,8,2,44,"Thursday June 23, 1994",74624,Group stage
151,29,8,36,45,"Monday June 20, 1994",50535,Group stage
152,34,8,7,36,"Saturday June 25, 1994",62387,Group stage
153,34,8,21,36,"Wednesday June 29, 1994",60578,Group stage
154,32,8,45,21,"Saturday June 25, 1994",76322,Group stage
155,29,8,7,45,"Wednesday June 29, 1994",52959,Group stage
156,34,8,7,21,"Sunday June 19, 1994",61219,Group stage
157,35,12,13,20,"Wednesday June 10, 1998",80000,Group stage
158,36,12,13,21,"Tuesday June 16, 1998",38500,Group stage
159,37,12,13,44,"Tuesday June 23, 1998",57000,Group stage
160,38,12,13,46,"Saturday June 27, 1998",45500,Round of 16
161,36,12,13,17,"Friday July 3, 1998",49500,Quarter-finals
162,37,12,13,36,"Tuesday July 7, 1998",60000,Semi-finals
163,35,12,13,10,"Sunday July 12, 1998",80000,Final
164,39,12,21,44,"Wednesday June 10, 1998",29750,Group stage
165,40,12,20,44,"Tuesday June 16, 1998",31800,Group stage
166,37,12,2,44,"Saturday June 27, 1998",55000,Round of 16
167,41,12,20,21,"Tuesday June 23, 1998",36000,Group stage
168,40,12,2,46,"Thursday June 11, 1998",35200,Group stage
169,39,12,2,28,"Wednesday June 17, 1998",35500,Group stage
170,35,12,2,26,"Tuesday June 23, 1998",80000,Group stage
171,35,12,2,10,"Friday July 3, 1998",80000,Quarter-finals
172,41,12,46,26,"Wednesday June 17, 1998",36000,Group stage
173,36,12,46,28,"Tuesday June 23, 1998",39500,Group stage
174,42,12,28,26,"Thursday June 11, 1998",36500,Group stage
175,37,12,10,47,"Friday June 12, 1998",55000,Group stage
176,35,12,10,45,"Thursday June 18, 1998",80000,Group stage
177,43,12,10,17,"Wednesday June 24, 1998",39100,Group stage
178,44,12,10,6,"Sunday June 28, 1998",31800,Round of 16
179,35,12,10,51,"Wednesday July 8, 1998",80000,Semi-finals
180,44,12,45,17,"Friday June 12, 1998",38100,Group stage
181,42,12,47,17,"Thursday June 18, 1998",33500,Group stage
182,35,12,42,17,"Sunday June 28, 1998",77000,Round of 16
183,40,12,47,45,"Wednesday June 24, 1998",31800,Group stage
184,36,12,14,42,"Saturday June 13, 1998",38000,Group stage
185,38,12,42,3,"Friday June 19, 1998",48000,Group stage
186,42,12,42,6,"Wednesday June 24, 1998",33400,Group stage
187,39,12,6,3,"Friday June 12, 1998",27650,Group stage
188,41,12,14,6,"Friday June 19, 1998",36000,Group stage
